  cnum                  name      glon_peak      glat_peak             ra            dec       glon_cen       glat_cen     maj     min     pos_ang     rad  flux_40  err_flux_40  flux_80  err_flux_80 flux_120 err_flux_120     flux     err_flux 
  7264       G111.623+00.204    111.6230152      0.2043463    349.0281037     60.9656587    111.6166264      0.2042859   19.64   11.63          47    null    0.028        0.019    0.098        0.037    0.202        0.057    0.046        0.025 
  7265       G111.625+00.612    111.6250797      0.6123459    348.7261494     61.3467744    111.6294437      0.6097643   25.45   24.75         179   49.96    0.086        0.020    0.270        0.042    0.480        0.066    0.355        0.055 
  7266       G111.629+00.762    111.6291036      0.7623453    348.6196490     61.4879121    111.6258752      0.7717189   18.61    9.49         161    null    0.050        0.033    0.179        0.067    0.338        0.102    0.080        0.041 
  7267       G111.629+00.892    111.6291242      0.8923453    348.5197813     61.6088926    111.6347137      0.8920625   27.49   21.84         129   47.77    0.044        0.023    0.118        0.047    0.168        0.070    0.183        0.050 
  7268       G111.631+00.412    111.6310482      0.4123450    348.8885706     61.1625606    111.6347765      0.4139216   20.34   18.44          21   31.91    0.077        0.028    0.233        0.057    0.395        0.086    0.194        0.053 
  7269       G111.632+00.198    111.6330143      0.1983447    349.0517732     60.9636521    111.6364141      0.2092056   35.63   19.87          33   51.56    0.033        0.019    0.105        0.039    0.213        0.059    0.195        0.050 
  7270       G111.632+00.754    111.6331026      0.7543447    348.6335685     61.4819252    111.6350377      0.7561580   23.03   17.34          56   32.78    0.070        0.034    0.198        0.070    0.404        0.106    0.217        0.072 
  7271       G111.637+00.734    111.6370997      0.7343440    348.6566487     61.4647640    111.6375169      0.7321075   34.42   28.57          96   67.15    0.114        0.037    0.360        0.076    0.654        0.116    0.746        0.128 
  7272       G111.638+00.098    111.6389983      0.0983438    349.1370544     60.8724504    111.6368234      0.0946429   41.83   31.46         179   79.96    0.076        0.018    0.237        0.037    0.428        0.058    0.628        0.076 
  7273       G111.649+00.388    111.6490448      0.3883421    348.9413251     61.1466788    111.6495615      0.3911028   29.05   18.34          45   41.63    0.114        0.027    0.306        0.056    0.517        0.085    0.400        0.070 
  7274       G111.650+00.048    111.6509902      0.0483418    349.1967586     60.8300439    111.6508080      0.0497634   32.43   20.99         147   51.31    0.154        0.020    0.364        0.043    0.464        0.061    0.520        0.063 
  7275       G111.650+00.414    111.6510490      0.4143418    348.9257450     61.1716491    111.6512182      0.4164524   23.35   13.55          27    null    0.048        0.023    0.146        0.047    0.283        0.073    0.107        0.039 
  7276       G111.650+00.796    111.6511105      0.7963418    348.6365552     61.5275974    111.6480511      0.7980378   30.46   19.23         113   45.28    0.053        0.026    0.147        0.053    0.262        0.079    0.213        0.058 
  7277       G111.661+00.368    111.6610419      0.3683402    348.9794494     61.1323479    111.6627302      0.3718104   28.94   23.65         118   52.71    0.069        0.025    0.205        0.052    0.356        0.078    0.334        0.068 
  7278       G111.661+00.542    111.6610700      0.5423402    348.8489805     61.2946095    111.6581696      0.5400630   28.66   19.83          63   44.96    0.041        0.024    0.144        0.049    0.273        0.075    0.208        0.056 
  7279       G111.661+00.728    111.6611001      0.7283402    348.7080137     61.4679215    111.6648758      0.7234043   20.39   12.14         171    null    0.052        0.037    0.182        0.074    0.396        0.112    0.098        0.050 
  7280       G111.661+00.732    111.6611008      0.7323402    348.7049650     61.4716470    111.6605320      0.7341131   18.61    7.55          42    null    0.052        0.037    0.176        0.074    0.396        0.112    0.058        0.041 
  7281       G111.665+00.810    111.6651137      0.8103395    348.6531841     61.5457407    111.6601872      0.8105895   17.31    9.76          44    null    0.039        0.023    0.112        0.047    0.198        0.070    0.048        0.027 
  7282       G111.665+00.902    111.6651286      0.9023395    348.5825490     61.6313824    111.6723126      0.9027865   41.30   23.51          67   65.00    0.066        0.020    0.190        0.040    0.323        0.062    0.442        0.068 
  7283       G111.667+00.728    111.6671005      0.7283392    348.7197140     61.4701051    111.6757226      0.7338041   19.34   14.53          26   17.15    0.049        0.037    0.182        0.073    0.363        0.110    0.106        0.055 
